30
0.07,0,0,0,0.07,0.83,0.01,0,0.1,0.76,0.13,1993,22,67,9.15,990,1130,640,73.09,2,0,0
0.57,0,0,0.01,0.02,0.38,0.01,0,0.12,0.73,0.14,1959,25,23,9.18,1100,1420,590,76.9,4,1,0
0.05,0,0,0,0.03,0.89,0.01,0,0.1,0.65,0.24,3878,9,29,9.23,880,1080,680,75.4,3,0,0
0.18,0,0.03,0,0.02,0.7,0.04,0,0.11,0.74,0.13,10596,3,5,9.24,919,919,500,79.4,3,0,0
0.18,0,0,0,0.01,0.74,0.04,0.01,0.14,0.7,0.15,3668,11,32,9.16,1060,1340,740,73.09,6,1,0
0.13,0,0,0,0,0.84,0.01,0,0.12,0.71,0.15,3196,14,58,9.08,919,1019,560,78.3,2,0,0
0.14,0,0,0,0,0.82,0.01,0,0.13,0.73,0.12,11142,7,46,9.09,969,1090,590,76.9,3,0,0
0.1,0.01,0,0,0.02,0.85,0,0,0.13,0.74,0.12,6143,7,7,9,940,1030,560,73.9,1,0,0
0.2,0,0,0,0.01,0.76,0.01,0,0.15,0.69,0.14,2527,12,27,8.86,1030,1350,720,74,4,1,0
0.52,0,0,0,0,0.45,0.01,0,0.12,0.64,0.23,3185,26,12,8.86,1150,1839,880,72.2,3,1,1
0.11,0.04,0,0,0,0.83,0,0,0.14,0.59,0.26,3433,21,72,8.6,990,1340,780,75.2,4,1,1
0.07,0.02,0,0,0.01,0.89,0,0,0.15,0.67,0.17,3158,9,85,8.49,1030,1320,830,72.9,6,1,1
0.15,0.02,0,0,0.02,0.77,0.01,0,0.08,0.71,0.19,8284,11,82,8.7,940,1120,670,75,4,0,0
0.07,0.01,0,0,0.02,0.86,0.01,0,0.16,0.69,0.14,5181,9,85,8.39,940,1070,680,76,2,0,0
0.12,0,0,0,0.01,0.85,0,0,0.09,0.69,0.2,5463,12,96,8.6,910,1110,700,78,2,0,0
0.62,0,0,0,0.01,0.3,0.05,0.02,0.15,0.72,0.12,3730,7,94,8.58,1200,1630,780,71.8,6,1,1
0.01,0,0.02,0,0.02,0.88,0.04,0.01,0.1,0.7,0.18,8756,11,63,8.84,800,950,620,79.59,0,0,0
0.09,0,0.01,0,0.02,0.83,0.02,0,0.14,0.74,0.11,19962,7,49,8.54,840,800,450,80.09,2,0,0
0.31,0,0,0,0,0.66,0,0,0.19,0.68,0.12,6456,13,30,8.61,910,1120,690,81,2,1,0
0.14,0,0,0,0.06,0.73,0.06,0,0.12,0.73,0.13,9344,9,32,8.6,869,940,560,77.7,2,0,0
0.2,0,0.02,0,0.01,0.72,0.01,0.01,0.08,0.67,0.23,6856,8,2,8.51,919,1330,770,80.5,7,0,0
0.17,0.01,0,0,0.01,0.78,0,0,0.11,0.73,0.14,6235,7,81,8.43,940,1080,620,76.9,5,0,0
0.02,0.03,0,0,0.01,0.84,0.08,0.03,0.07,0.71,0.21,6605,10,73,8.27,980,1210,780,75.8,5,0,0
0.02,0,0,0,0.01,0.89,0.07,0.01,0.13,0.74,0.12,8316,7,54,8.3,919,1000,620,78.9,1,0,0
0.03,0.01,0,0,0.01,0.83,0.12,0.03,0.13,0.68,0.17,5188,4,75,8.31,969,1180,770,74.8,3,1,0
0.03,0,0,0,0.02,0.8,0.13,0.04,0.1,0.67,0.22,4644,16,15,8.2,980,1320,840,72.09,4,1,1
0.03,0.01,0.01,0,0.01,0.83,0.1,0.01,0.14,0.66,0.19,11802,5,5,8.3,819,980,660,80,3,0,0
0.01,0,0,0,0.05,0.87,0.06,0.04,0.08,0.72,0.19,4903,14,2,8.18,840,950,580,78.2,2,0,0
0.07,0,0.07,0,0,0.84,0,0,0.16,0.58,0.25,5091,9,0,8.37,800,1100,770,78.59,5,0,0
0.24,0,0,0,0,0.73,0.01,0,0.12,0.61,0.26,5997,11,4,8.27,890,1200,720,80.4,13,0,1
